"Name","Team","Number","LiveScore","TOG"
"Josh Treacy","Fremantle",35,67,88
"Sam Sturt","Fremantle",1,47,86
"Jye Amiss","Fremantle",24,19,87
"Nathan O'Driscoll","Fremantle",30,25,31
"Alex Pearce","Fremantle",25,48,100
"Luke Ryan","Fremantle",13,90,80
"Lachie Schultz","Fremantle",5,62,81
"Michael Walters","Fremantle",10,20,87
"Sam Switkowski","Fremantle",39,31,83
"Jaeger O'Meara","Fremantle",2,102,86
"Joel Hamling","Fremantle",21,38,88
"Andrew Brayshaw","Fremantle",8,110,79
"Sean Darcy","Fremantle",4,74,43
"James Aish","Fremantle",11,76,82
"Ethan Hughes","Fremantle",15,51,86
"Neil Erasmus","Fremantle",28,115,75
"Jordan Clark","Fremantle",6,63,87
"Liam Henry","Fremantle",23,75,85
"Bailey Banfield","Fremantle",41,58,79
"Brandon Walker","Fremantle",31,4,52
"Corey Wagner","Fremantle",34,81,78
"Luke Jackson","Fremantle",9,88,83
"Matthew Johnson","Fremantle",44,68,75
"Jarrod Witts","Gold Coast Suns",28,108,77
"Wil Powell","Gold Coast Suns",27,118,84
"Ben Ainsworth","Gold Coast Suns",9,96,85
"Mac Andrew","Gold Coast Suns",31,34,84
"Charlie Ballard","Gold Coast Suns",10,31,95
"Brayden Fiorini","Gold Coast Suns",8,28,22
"Ben King","Gold Coast Suns",34,43,87
"Ben Long","Gold Coast Suns",22,60,74
"Jack Lukosius","Gold Coast Suns",13,81,84
"Darcy Macpherson","Gold Coast Suns",44,73,82
"Hewago Oea","Gold Coast Suns",47,41,58
"Noah Anderson","Gold Coast Suns",15,85,84
"Nick Holman","Gold Coast Suns",7,69,82
"Touk Miller","Gold Coast Suns",11,108,76
"Matt Rowell","Gold Coast Suns",18,89,74
"Rory Atkins","Gold Coast Suns",2,122,84
"Brandon Ellis","Gold Coast Suns",4,87,81
"David Swallow","Gold Coast Suns",24,64,72
"Bailey Humphrey","Gold Coast Suns",19,46,76
"Sam Collins","Gold Coast Suns",25,50,97
"Elijah Hollands","Gold Coast Suns",36,62,77
"Levi Casboult","Gold Coast Suns",30,40,89
"Sam Flanders","Gold Coast Suns",3,120,77
"Jack Sinclair","St Kilda",35,86,85
"Liam Stocker","St Kilda",14,43,65
"Hunter Clark","St Kilda",11,41,37
"Mason Wood","St Kilda",32,69,89
"Ryan Byrnes","St Kilda",13,48,83
"Rowan Marshall","St Kilda",19,99,83
"Jack Peris","St Kilda",45,57,61
"Mattaes Phillipou","St Kilda",25,39,46
"Cooper Sharman","St Kilda",43,76,95
"Jade Gresham","St Kilda",4,70,85
"Bradley Hill","St Kilda",8,80,88
"Zak Jones","St Kilda",3,79,61
"Jack Steele","St Kilda",9,106,77
"Brad Crouch","St Kilda",5,89,73
"Dougal Howard","St Kilda",20,31,96
"Nasiah Wanganeen-Milera","St Kilda",7,105,79
"Callum Wilkie","St Kilda",44,97,100
"Josh Battle","St Kilda",26,62,94
"Dan Butler","St Kilda",16,56,76
"Anthony Caminiti","St Kilda",47,42,82
"Mitch Owens","St Kilda",10,66,81
"Jimmy Webster","St Kilda",29,48,81
"Marcus Windhager","St Kilda",17,100,82
"Jesse Motlop","Carlton",3,62,76
"Patrick Cripps","Carlton",9,100,76
"Tom De Koning","Carlton",12,97,78
"Jordan Boyd","Carlton",37,49,83
"Sam Docherty","Carlton",15,88,92
"Blake Acres","Carlton",13,89,87
"Mitch McGovern","Carlton",11,80,76
"Harry McKay","Carlton",10,13,13
"Sam Walsh","Carlton",18,76,80
"Adam Cerra","Carlton",5,62,66
"Adam Saad","Carlton",42,51,75
"Matthew Cottrell","Carlton",46,52,92
"Lachie Fogarty","Carlton",8,70,79
"Jacob Weitering","Carlton",23,40,100
"Jack Martin","Carlton",21,50,71
"Brodie Kemp","Carlton",17,49,100
"Paddy Dow","Carlton",2,46,64
"Charlie Curnow","Carlton",30,98,97
"Alex Cincotta","Carlton",39,31,78
"David Cuningham","Carlton",28,50,76
"George Hewett","Carlton",29,74,72
"Jack Silvagni","Carlton",1,110,82
"Nic Newman","Carlton",24,108,89
"Scott Lycett","Port Adelaide",29,64,79
"Zak Butters","Port Adelaide",9,68,69
"Kane Farrell","Port Adelaide",6,82,86
"Tom Jonas","Port Adelaide",1,30,89
"Dan Houston","Port Adelaide",5,156,83
"Miles Bergman","Port Adelaide",14,40,81
"Sam Powell-Pepper","Port Adelaide",2,76,87
"Jase Burgoyne","Port Adelaide",36,50,82
"Xavier Duursma","Port Adelaide",7,85,86
"Darcy Byrne-Jones","Port Adelaide",33,39,32
"Jeremy Finlayson","Port Adelaide",11,37,88
"Connor Rozee","Port Adelaide",20,111,86
"Lachie Jones","Port Adelaide",34,62,90
"Todd Marshall","Port Adelaide",4,59,87
"Aliir Aliir","Port Adelaide",21,42,100
"Travis Boak","Port Adelaide",10,63,79
"Jed McEntee","Port Adelaide",41,47,70
"Ollie Wines","Port Adelaide",16,92,75
"Willem Drew","Port Adelaide",28,92,76
"Ollie Lord","Port Adelaide",30,44,89
"Jackson Mead","Port Adelaide",44,17,82
"Dylan Williams","Port Adelaide",23,60,66
"Ryan Burton","Port Adelaide",3,31,40
"Jeremy Cameron","Geelong Cats",5,77,92
"Rhys Stanley","Geelong Cats",1,55,69
"Tom Stewart","Geelong Cats",44,77,91
"Max Holmes","Geelong Cats",9,101,83
"Brad Close","Geelong Cats",45,72,89
"Patrick Dangerfield","Geelong Cats",35,54,60
"Mitch Duncan","Geelong Cats",22,85,80
"Zach Guthrie","Geelong Cats",39,89,81
"Oliver Henry","Geelong Cats",36,43,80
"Oisin Mullin","Geelong Cats",34,5,19
"Mark O'Connor","Geelong Cats",42,65,80
"Tyson Stengle","Geelong Cats",18,65,83
"Tanner Bruhn","Geelong Cats",4,66,70
"Mark Blicavs","Geelong Cats",46,81,69
"Jack Henry","Geelong Cats",38,68,90
"Sam De Koning","Geelong Cats",16,30,94
"Isaac Smith","Geelong Cats",7,92,80
"Gryan Miers","Geelong Cats",32,99,85
"Tom Hawkins","Geelong Cats",26,110,96
"Jake Kolodjashnij","Geelong Cats",8,43,84
"Gary Rohan","Geelong Cats",23,35,69
"Jack Bowes","Geelong Cats",12,78,85
"Tom Atkins","Geelong Cats",30,122,71
"Zach Merrett","Essendon",7,76,82
"Sam Durham","Essendon",22,62,82
"Matt Guelfi","Essendon",35,25,74
"Dyson Heppell","Essendon",21,82,82
"Nick Hind","Essendon",19,25,27
"Jye Menzie","Essendon",47,30,79
"Will Snelling","Essendon",11,62,75
"Nick Bryan","Essendon",24,86,82
"Darcy Parish","Essendon",3,77,79
"Jordan Ridley","Essendon",14,75,87
"Andrew McGrath","Essendon",1,76,80
"Mason Redman","Essendon",27,77,74
"Jayden Laverde","Essendon",15,57,65
"Archie Perkins","Essendon",16,69,81
"Kyle Langford","Essendon",4,35,93
"Brandon Zerk-Thatcher","Essendon",30,65,97
"Jye Caldwell","Essendon",6,45,78
"Jake Stringer","Essendon",25,31,63
"Peter Wright","Essendon",20,47,88
"Ben Hobbs","Essendon",8,59,67
"Sam Weideman","Essendon",10,31,87
"Jake Kelly","Essendon",29,59,84
"Nic Martin","Essendon",37,83,95
"Luke Pedlar","Adelaide Crows",10,50,84
"Rory Sloane","Adelaide Crows",9,51,64
"Reilly O'Brien","Adelaide Crows",43,61,83
"Rory Laird","Adelaide Crows",29,96,83
"Jordan Dawson","Adelaide Crows",12,108,85
"Wayne Milera","Adelaide Crows",30,81,81
"Taylor Walker","Adelaide Crows",13,49,80
"Jordon Butts","Adelaide Crows",41,36,87
"Darcy Fogarty","Adelaide Crows",32,40,77
"Mitchell Hinge","Adelaide Crows",20,65,94
"Chayce Jones","Adelaide Crows",1,74,84
"Shane McAdam","Adelaide Crows",23,37,73
"Ned McHenry","Adelaide Crows",25,0,0
"Izak Rankine","Adelaide Crows",22,35,90
"Lachlan Sholl","Adelaide Crows",38,41,85
"Brodie Smith","Adelaide Crows",33,75,87
"Riley Thilthorpe","Adelaide Crows",7,55,69
"Josh Worrell","Adelaide Crows",24,50,73
"Ben Keays","Adelaide Crows",2,57,89
"Nick Murray","Adelaide Crows",28,53,85
"Lachlan Murphy","Adelaide Crows",4,60,86
"Josh Rachele","Adelaide Crows",8,41,69
"Max Michalanney","Adelaide Crows",16,50,93
"Jake Riccardi","GWS Giants",26,22,80
"Stephen Coniglio","GWS Giants",3,72,83
"Harry Himmelberg","GWS Giants",27,57,78
"Callum M. Brown","GWS Giants",46,47,83
"Jack Buckley","GWS Giants",44,46,92
"Aaron Cadman","GWS Giants",5,36,55
"Ryan Angwin","GWS Giants",9,58,79
"Lachie Ash","GWS Giants",7,59,83
"Josh Fahey","GWS Giants",34,0,0
"Josh Kelly","GWS Giants",22,91,87
"Daniel Lloyd","GWS Giants",38,29,75
"Harry Perryman","GWS Giants",36,75,77
"Callan Ward","GWS Giants",8,40,74
"Toby Greene","GWS Giants",4,77,94
"Lachie Whitfield","GWS Giants",6,83,85
"Jesse Hogan","GWS Giants",23,29,87
"Isaac Cumming","GWS Giants",13,54,73
"Connor Idun","GWS Giants",39,55,89
"Toby Bedford","GWS Giants",14,47,78
"Brent Daniels","GWS Giants",16,38,79
"Sam Taylor","GWS Giants",15,68,100
"Jacob Wehr","GWS Giants",10,47,90
"Kieren Briggs","GWS Giants",32,66,77
